"Screen index","Type of item","Question","Answer options","Answer"
"0","QuestionnaireItemText","<b>Bitte geben Sie hier Ihre PIN ein:","undefined","ENH20"
"0","QuestionnaireItemText","<b>Wie alt sind Sie?","undefined","23"
"0","QuestionnaireItemDefinedOne","<b>Wie würden Sie Ihre Deutschkenntnisse einschätzen?","Muttersprache,C1/2 (Verhandlungssicher),B1/2 (Gesprächssicher),keine der genannten","Muttersprache"
"0","QuestionnaireItemText","Wenn Deutsch nicht Ihre Muttersprache ist: Was ist Ihre Muttersprache?","undefined",null
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche telefonieren Sie übers Festnetz?","undefined","0"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche telefonieren Sie mit dem Handy?","undefined","4"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche telefonieren über das Internet (z.B. über Discord, Messenger-Apps wie Whatsapp)?","undefined","3"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche nutzen Sie Videoanrufe?","undefined","1"
"0","QuestionnaireItemSVGQuality7pt","<b>Wie sind Ihre bisherigen Erfahrungen mit den o.g. Telekommunikationsmitteln?","10-70","32"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche nutzen Sie Social Media?","undefined","35"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche nutzen Sie Online-Zeitungen?","undefined","0"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche nutzen Sie den Fernseher?","undefined","0"
"0","QuestionnaireItemText","<b> Wie viele Stunden pro Woche nutzen Sie das Radio?","undefined","0"
"0","QuestionnaireItemDefinedOne","<b>Haben Sie schon einmal an einem Hörtest/-experiment teilgenommen?","Ja,Nein","Nein"
"0","QuestionnaireItemText","Wenn Ja: Wann? (Jahr)","undefined",null
"0","QuestionnaireItemDefinedOne","<b>Haben Sie regelmäßig (z.B. über Ihre Arbeit) mit Audiotechnikverfahren/-forschung zu tun?","Ja,Nein","Nein"
"0","QuestionnaireItemDefinedOne","Wenn Nein: Hatten Sie früher einmal damit zu tun?","Ja,Nein","Nein"
"0","QuestionnaireItemText","Wenn Ja: Wann? (Jahr)","undefined",null
"0","QuestionnaireItemDefinedOne","<b>Haben Sie Konzentrations- oder Hörschwächen?","Ja,Nein","Nein"
